Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0603_1608Metric,74.880155,-7.409515,0.0,top
C2,1u,C_0603_1608Metric,64.11625,-20.418125,90.0,top
C3,22p,C_0603_1608Metric,56.146105,-26.635236,45.0,top
C4,22p,C_0603_1608Metric,55.792552,-30.991014,-45.0,top
C5,0.1u,C_0603_1608Metric,59.134375,-24.813125,180.0,top
C6,0.1u,C_0603_1608Metric,59.479375,-32.838125,180.0,top
C7,0.1u,C_0603_1608Metric,71.199375,-30.718125,0.0,top
C8,0.1u,C_0603_1608Metric,71.199375,-25.7175,0.0,top
C9,0.1u,C_0603_1608Metric,69.5325,-23.098125,0.0,top
C10,10u,C_0603_1608Metric,62.449375,-19.308125,90.0,top
F1,500mA,Fuse_1206_3216Metric,60.296425,-15.210796,0.0,top
J1,Conn_01x15,DF14A-15P-1.25H,22.660155,-28.479515,0.0,top
J2,Conn_01x13,S13B-ZR-SM4A-TF,22.660155,-32.461515,0.0,top
L1,"220 @ 100MHz, 2A",L_0603_1608Metric,74.880155,-9.159515,0.0,top
R1,5.1k,R_0402_1005Metric,69.635155,-12.309515,90.0,top
R2,5.1k,R_0402_1005Metric,64.160155,-12.310796,-90.0,top
R3,22,R_0603_1608Metric,65.818995,-19.093125,-90.0,top
R4,22,R_0603_1608Metric,67.456125,-19.093125,-90.0,top
R5,10k,R_0603_1608Metric,68.704375,-34.218125,-90.0,top
R6,10k,R_0603_1608Metric,26.670375,-6.986535,90.0,top
SW1,SW_Push,SW_Tactile_SKHH_Angled,17.110155,-6.161535,0.0,top
U1,ATmega32U4-M,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,65.390815,-28.218035,-90.0,top
U2,SRV05-4,SOT-23-6-routable,66.631975,-15.212365,180.0,top
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,67.060155,-0.629515,180.0,top
Y1,16MHz,Crystal_SMD_3225-4pin_3.2x2.5mm,57.864375,-28.813125,45.0,top
